RecordNumber,SourceName,TaskCategory,EventCode,EventType,cluster
37080,Microsoft-Windows-FilterManager,23,4,3,0
37009,Microsoft-Windows-DistributedCOM,23,10016,2,0
37008,Microsoft-Windows-DistributedCOM,23,10016,2,0
37007,Microsoft-Windows-DistributedCOM,23,10016,2,0
37004,Microsoft-Windows-Time-Service,23,134,3,0
36994,Microsoft-Windows-Time-Service,23,134,3,0
36993,Microsoft-Windows-Time-Service,23,134,3,0
36985,Microsoft-Windows-DistributedCOM,23,10016,2,0
36959,Microsoft-Windows-DNS Client Events,13,1014,3,0
36924,Microsoft-Windows-DistributedCOM,23,10016,2,0
36923,Microsoft-Windows-DistributedCOM,23,10016,2,0
36922,Microsoft-Windows-DistributedCOM,23,10016,2,0
36918,Microsoft-Windows-Time-Service,23,36,3,0
36909,Microsoft-Windows-Time-Service,23,134,3,0
36908,Microsoft-Windows-Time-Service,23,134,3,0
36900,Microsoft-Windows-DistributedCOM,23,10016,2,0
36887,Microsoft-Windows-Time-Service,23,134,3,0
36883,Microsoft-Windows-Time-Service,23,134,3,0
36882,Microsoft-Windows-DNS Client Events,13,1014,3,0
36879,Microsoft-Windows-DNS Client Events,13,1014,3,0
36868,Microsoft-Windows-Time-Service,23,134,3,0
36845,Microsoft-Windows-Time-Service,23,134,3,0
36840,Microsoft-Windows-Time-Service,23,134,3,0
36838,Microsoft-Windows-Time-Service,23,134,3,0
36833,Microsoft-Windows-DistributedCOM,23,10016,2,0
36811,Microsoft-Windows-DistributedCOM,23,10016,2,0
36810,Microsoft-Windows-DNS Client Events,13,1014,3,0
36786,Microsoft-Windows-DNS Client Events,13,1014,3,0
36780,Microsoft-Windows-DNS Client Events,13,1014,3,0
36745,Microsoft-Windows-DistributedCOM,23,10016,2,0
36744,Microsoft-Windows-DistributedCOM,23,10016,2,0
36743,Microsoft-Windows-DistributedCOM,23,10016,2,0
36740,Microsoft-Windows-Time-Service,23,134,3,0
36730,Microsoft-Windows-Time-Service,23,134,3,0
36729,Microsoft-Windows-Time-Service,23,134,3,0
36721,Microsoft-Windows-DistributedCOM,23,10016,2,0
36720,Microsoft-Windows-DNS Client Events,13,1014,3,0
36716,Microsoft-Windows-DNS Client Events,13,1014,3,0
36715,Microsoft-Windows-DNS Client Events,13,1014,3,0
36714,Microsoft-Windows-DNS Client Events,13,1014,3,0
